rackOffset,outerWheel,innerWheel,,,,,,
1.75,30.57437203,45.88498859,,,,,,
1.7,29.675872,43.36184683,,,,,,
1.65,28.77967237,41.13429787,,,,,,
1.6,27.88557945,39.11287473,,,,,,
1.55,26.99340127,37.24543304,,,,,,
1.5,26.10294718,35.4984342,,,,,,
1.45,25.21402749,33.84880118,,,,,,
1.4,24.3264532,32.27985292,,,,,,
1.35,23.44003554,30.77906838,,,,,,
1.3,22.55458574,29.3367648,,,,,,
1.25,21.66991458,27.94527094,,,,,,
1.2,20.78583211,26.59838616,,,,,,
1.15,19.90214724,25.29101308,,,,,,
1.1,19.0186674,24.01890028,,,,,,
1.05,18.13519816,22.77845727,,,,,,
1,17.25154282,21.56661835,,,,,,
0.95,16.36750202,20.38074048,,,,,,
0.9,15.4828733,19.2185253,,,,,,
0.85,14.59745069,18.07795864,,,,,,
0.8,13.7110242,16.95726306,,,,,,
0.75,12.82337934,15.85485999,,,,,,
0.7,11.93429662,14.76933936,,,,,,
0.65,11.04355093,13.69943485,,,,,,
0.6,10.15091103,12.6440036,,,,,,
0.55,9.25613881,11.60200951,,,,,,
0.5,8.358988685,10.57250916,,,,,,
0.45,7.459206789,9.55464018,,,,,,
0.4,6.556530189,8.547611243,,,,,,
0.35,5.650685994,7.550693685,,,,,,
0.3,4.7413904,6.563214274,,,,,,
0.25,3.828347624,5.584549008,,,,,,
0.2,2.911248756,4.614117756,,,,,,
0.15,1.989770472,3.651379602,,,,,,
0.1,1.063573631,2.695828786,,,,,,
0.05,0.132301702,1.746991143,,,,,,
0,-0.804420977,0.804420977,,,,,,
